ID	Haplogroup	Group
Sample_0001	O1a	ANEA
Sample_0002	D1a1a1a1a	ANEA
Sample_0003	O2a2b1a1a1a4a	ANEA
Sample_0004	C2b1b1	ANEA
Sample_0005	O2a1b1a1a1a1ib	ANEA
Sample_0006	N1b1a1	ANEA
Sample_0007	N1	ANEA
Sample_0008	O1a	ANEA
Sample_0009	N1b2	ANEA
Sample_0010	C2b1	ANEA
Sample_0011	O2a2b1a1a1a4a	ANEA
Sample_0012	O2a2b1a1a1a4a	ANEA
Sample_0013	O2a1b1a1a1a1	ANEA
Sample_0014	O2a2b1a2a1a2	ANEA
Sample_0015	O2a2b1a1a1a4a	ANEA
Sample_0016	O2a2a1a2a1	ASEA
Sample_0017	O1a1a1a1	ASEA
Sample_0018	C2b1b	ASEA
Sample_0019	N1b2	ASEA
Sample_0020	C2b1b1	ASEA
Sample_0021	C2b1b1b2	ASEA
Sample_0022	C2b1	ASEA
Sample_0023	O2a2b1a1a1a4	ASEA
Sample_0024	O2a2b1a2a1a1b1b2b2	Han_Anhui
Sample_0025	O1b1a2a1	Han_Anhui
Sample_0026	O1b1a1b1b	Han_Anhui
Sample_0027	O2a1b1a1a1a1a1a1b1d	Han_Anhui
Sample_0028	N1b2	Han_Anhui
Sample_0029	O2a2b1a1a1c1a1a1	Han_Anhui
Sample_0030	O2a1b1a1a1a1a1a1b	Han_Anhui
Sample_0031	O2a2b1a2a	Han_Anhui
Sample_0032	O2a2b1a1	Han_Anhui
Sample_0033	O2a2b1a1a1	Han_Anhui
Sample_0034	C2	Han_Anhui
Sample_0035	O2a2b1a2a	Han_Anhui
Sample_0036	O2a2a1a	Han_Anhui
Sample_0037	O1a1a1a1a1a1a	Han_Anhui
Sample_0038	O2a2b1a1a1	Han_Anhui
Sample_0039	O2a2b1a2a1a3	Han_Beijing
Sample_0040	O2a1a1b1a1a	Han_Beijing
Sample_0041	O1a1b1	Han_Beijing
Sample_0042	Q1a1a1a	Han_Beijing
Sample_0043	O2a2b1a2a2b1a	Han_Beijing
Sample_0044	O2a1b1a1a1a1b1a1b1	Han_Beijing
Sample_0045	O2a2b1a2a1a4	Han_Beijing
Sample_0046	O1b1a2	Han_Beijing
Sample_0047	O2a2b1a2a	Han_Beijing
Sample_0048	R1b	Han_Beijing
Sample_0049	O2a2b1a2a	Han_Beijing
Sample_0050	O2a2b1a1a1a4a	Han_Beijing
Sample_0051	O1b1a2b1a	Han_Beijing
Sample_0052	O1a1a1b1b1a	Han_Chongqing
Sample_0053	O1a1a1a1a1a1c3	Han_Chongqing
Sample_0054	O2a2b1a2a1a1a2a1	Han_Chongqing
Sample_0055	O2a2b1a2a1a1a2a1	Han_Chongqing
Sample_0056	O2a2b1a1a1a1a1b1a1a1a	Han_Chongqing
Sample_0057	O1a1a1a1a1a1	Han_Chongqing
Sample_0058	O2a1a1a1a	Han_Chongqing
Sample_0059	O1a1a1a1a1a1	Han_Chongqing
Sample_0060	O2a2b1a2a2b1	Han_Chongqing
Sample_0061	N1a	Han_Chongqing
Sample_0062	O1a1a1b1b	Han_Chongqing
Sample_0063	O1a1a1b1b	Han_Chongqing
Sample_0064	O2a1a1a1	Han_Chongqing
Sample_0065	O1a1a1a1a1a1d2	Han_Chongqing
Sample_0066	O2a2b2a1b1	Han_Chongqing
Sample_0067	O2a1a1	Han_Chongqing
Sample_0068	D1a1a1	Han_Chongqing
Sample_0069	D1a1a1	Han_Chongqing
Sample_0070	O2a2b1a1a1a1a1a1a1	Han_Chongqing
Sample_0071	O1b1a1a1	Han_Chongqing
Sample_0072	O1a1a1a1a1a1a	Han_Chongqing
Sample_0073	O1b1a1a1	Han_Chongqing
Sample_0074	O1a1a1b1b	Han_Fujian
Sample_0075	O1a1a1	Han_Fujian
Sample_0076	O2a2b1a1a1	Han_Fujian
Sample_0077	O2a2b2a2a	Han_Fujian
Sample_0078	O2a1b1a1a1a1h	Han_Fujian
Sample_0079	O1a1a1a1a1a1	Han_Fujian
Sample_0080	C2b1a2a2a	Han_Fujian
Sample_0081	O2a2b1a1a1a3a1a1	Han_Fujian
Sample_0082	O2a1b1a1a1a1a1a1b	Han_Fujian
Sample_0083	N1b1b	Han_Fujian
Sample_0084	O2b	Han_Fujian
Sample_0085	Q1a1a	Han_Fujian
Sample_0086	O2a2b1a1a1	Han_Fujian
Sample_0087	O2	Han_Fujian
Sample_0088	O2a2b1a1a1	Han_Fujian
Sample_0089	O2a2b1a2a	Han_Fujian
Sample_0090	O1b1a2	Han_Fujian
